"descriptive text on Dashboard"	"response component"	"curation date YYYY-MM-DD"	"cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested"	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"method - primary experimental method used to measure the response"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (NCBI pathogen name)"	"exposure material (NCBI taxid)"	"exposure process - method by which immune exposure  occurred"	"disease name"	"disease stage - reported disease stage(s) of affected subjects"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD)"	"publication URL"	"signature source - figure, table or text section"	"comments and additional details"	"response component (original) count"	"response component count"	"row key"
""	"LYZ; IGHG1; S100A9; S100A8; IGKC; CTSS; FCN1; VCAN; NEAT1; MNDA; AIF1; IGHA1; PSAP; KLF4; EHBP1L1; SPI1; S100A12; SAT1; SERPINA1; LCP1; TKT; PARP14; TYMP; LST1; FGL2; SLC38A2; CFD; NAMPT; CYBB; S100A11"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"CITE-seq; DEGs"	"LYZ; IGHG1; S100A9; S100A8; IGKC; CTSS; FCN1; VCAN; NEAT1; MNDA; AIF1; IGHA1; PSAP; KLF4; EHBP1L1; SPI1; S100A12; SAT1; SERPINA1; LCP1; TKT; PARP14; TYMP; LST1; FGL2; SLC38A2; CFD; NAMPT; CYBB; S100A11"	"N"	"gene expression"	"up"	"cluster 9 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"31"	"30"	"32788292_52_195"
""	"ARL4C; CD3E; CCL5; OST4; TGFB1; KIF2A; RGS10; BTG1; CD52; TUBA4A; LTB; CD7; TRBC2; TAGLN2; NT5C3A; TRAC; CTSW; YWHAH; CST7; TLN1; LIMS1; MARCHF2; RUFY1; IGLC3; NKG7; TRBC1; IL7R; IL32"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"CITE-seq; DEGs"	"ARL4C; CD3E; CCL5; OST4; TGFB1; KIF2A; RGS10; BTG1; CD52; TUBA4A; LTB; CD7; TRBC2; TAGLN2; NT5C3A; TRAC; CTSW; YWHAH; CST7; TLN1; LIMS1; MARCH2; RUFY1; IGLC3; NKG7; TRBC1; IL7R; IL32"	"N"	"gene expression"	"down"	"cluster 9 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"28"	"28"	"32788292_53_196"
""	"TCF4; IRF8; PPP1R14B; IRF7; CCDC50; PTGDS; ITM2C; PLD4; TPM2; LILRA4; UGCG; SERPINF1; GZMB; IL3RA; TCL1A; BCL11A; ALOX5AP; SPIB; TSPAN13; TXN; SMPD3; CYB561A3; SEC61B; SCT; PLAC8; CLEC4C; APP; GPR183; DNASE1L3; SOX4; C12orf75; STMN1; NPC2; MAPKAPK2; GAPT; CLIC3; RNASE6; SPCS1; CD74; IRF4; SELENOS; HERPUD1; DERL3; CCDC88A; RGS1; NIBAN3; LAMP5; LINC00996; VEGFB; PLP2; TRAF4; RUNX2; UNC93B1; CCDC186; CD2AP; FCHSD2; ZFAT; SLC15A4; OFD1; RNASET2; TGFBI; MZB1; LILRB4; IDH3A; LGMN; MYBL2; COBLL1; NUCB2; GAS6; BLNK; P2RY14; MAP1A; RRBP1; MPEG1; CD4; JCHAIN; CIB2; ERP29; NOPCHAP1; HIGD1A; RGS2; VAMP8; CTSZ; ZDHHC17; PHB1; ST6GALNAC4; RAB11FIP1; PARK7; CTSC; PACSIN1; HLA-DMA; SCARB2; PPM1K; RASD1; CLN8; PTMS; PTPRE; SMC6; B4GALT1"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"CITE-seq; DEGs"	"TCF4; IRF8; PPP1R14B; IRF7; CCDC50; PTGDS; ITM2C; PLD4; TPM2; LILRA4; UGCG; SERPINF1; GZMB; IL3RA; TCL1A; BCL11A; ALOX5AP; SPIB; TSPAN13; TXN; SMPD3; CYB561A3; SEC61B; SCT; PLAC8; CLEC4C; APP; GPR183; DNASE1L3; SOX4; C12orf75; STMN1; NPC2; MAPKAPK2; GAPT; CLIC3; RNASE6; SPCS1; CD74; IRF4; SELENOS; HERPUD1; DERL3; CCDC88A; RGS1; FAM129C; LAMP5; LINC00996; VEGFB; PLP2; TRAF4; RUNX2; UNC93B1; CCDC186; CD2AP; FCHSD2; ZFAT; SLC15A4; OFD1; RNASET2; TGFBI; MZB1; LILRB4; IDH3A; LGMN; MYBL2; COBLL1; NUCB2; GAS6; BLNK; P2RY14; MAP1A; RRBP1; MPEG1; CD4; JCHAIN; CIB2; ERP29; C12orf45; HIGD1A; RGS2; VAMP8; CTSZ; ZDHHC17; PHB; ST6GALNAC4; RAB11FIP1; PARK7; CTSC; PACSIN1; HLA-DMA; SCARB2; PPM1K; RASD1; CLN8; PTMS; PTPRE; SMC6; B4GALT1"	"N"	"gene expression"	"up"	"cluster 10 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"100"	"99"	"32788292_54_197"
""	"IFI27; S100A8; S100A12; S100A9; IFITM3; PLBD1; RNASE2; IFI6; CD14; ISG15; VCAN; APOBEC3A; RETN; MNDA; TYMP; IFI44L; CTSD; GRN; APLP2; MX1; LYZ; S100A11; FCN1; FPR1; SERPINA1; PLAC8; NAMPT; MX2; IFIT1; LY6E; LGALS1; TNFSF13B; IFIT3; CTSB; S100A6; CTSS; ACSL1; PLSCR1; NCF2; IFI44; SELL; XAF1; TNFSF10; CYBB; CEBPD; BLVRB; MAFB; FTL; IFITM2; CYP1B1; EPSTI1; LILRB2; OAS1; LILRA5; RSAD2; TYROBP; S100A10; MGST1; AIF1; CD163; KCTD12; SPI1; ANXA2; OAS3; GCA; FGL2; CREG1; MEGF9; MS4A4A; OAS2; GLUL; ITGB2; NEAT1; IGSF6; CEBPB; NAIP; SIGLEC1; BLVRA; C5AR1; FCGR1A; CD63; SLC11A1; TSPO; CAPG; S100A4; CSTA; CLEC12A; SULT1A1; SPTLC2; CD36; SRGN; PSAP; LAP3; CR1; LGALS9; SERPINB1; DUSP6; CDA"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"CITE-seq; DEGs"	"IFI27; S100A8; S100A12; S100A9; IFITM3; PLBD1; RNASE2; IFI6; CD14; ISG15; VCAN; APOBEC3A; RETN; MNDA; TYMP; IFI44L; CTSD; GRN; APLP2; MX1; LYZ; S100A11; FCN1; FPR1; SERPINA1; PLAC8; NAMPT; MX2; IFIT1; LY6E; LGALS1; TNFSF13B; IFIT3; CTSB; S100A6; CTSS; ACSL1; PLSCR1; NCF2; IFI44; SELL; XAF1; TNFSF10; CYBB; CEBPD; BLVRB; MAFB; FTL; IFITM2; CYP1B1; EPSTI1; LILRB2; OAS1; LILRA5; RSAD2; TYROBP; S100A10; MGST1; AIF1; CD163; KCTD12; SPI1; ANXA2; OAS3; GCA; FGL2; CREG1; MEGF9; MS4A4A; OAS2; GLUL; ITGB2; NEAT1; IGSF6; CEBPB; NAIP; SIGLEC1; BLVRA; C5AR1; FCGR1A; CD63; SLC11A1; TSPO; CAPG; S100A4; CSTA; CLEC12A; SULT1A1; SPTLC2; CD36; SRGN; PSAP; LAP3; CR1; LGALS9; SERPINB1; DUSP6; CDA"	"N"	"gene expression"	"up"	"cluster 11 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"100"	"98"	"32788292_55_198"
""	"SYNE2; MALAT1; RNF213; SYNE1; MACF1; NKTR; XIST; SLFN12L; PRRC2C; UTRN; RORA; ZAP70; DDX17; ATM; ANKRD11; RBM39; PTPRC; SRRM2; ARGLU1; ATRX; ETS1; GOLGA4; SMCHD1; ARAP2; AAK1; CLEC2D; PCSK7; ASH1L; IKZF3; PLCG2; ANKRD12; DIP2A; AHNAK; HNRNPH1; SAMD3; PRPF4B; AKNA; PRF1; TUT4; PNISR; AKAP13; MYO1F; ACAP1; AKAP9; PPP2R5C; ZNF292; EVL; CCNL1; BPTF; TCF25; N4BP2L2; ZFP36L2; OGA; DDX24; MBNL1; LUC7L3; FUS; SMG1; SRSF11; KLRD1; DDX3X; RSRP1; EML4; PNN; SON; ARL4C; IKZF1; KMT2A; PCM1; ATF7IP; ITGAL; ANKRD44; RESF1; USP34; SLFN5; VPS13C; NEMF; BDP1; POLR2J3; CDK13; EPB41; SNRNP70; GOLGB1; OGT; YIPF4; INTS6; AFF4; PARP8; SREK1; GPBP1; SP100; YME1L1; RBM26; CASP8; ZNF207; HECTD1; TNRC6B; IRF3; TRA2B; USP15"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"CITE-seq; DEGs"	"SYNE2; MALAT1; RNF213; SYNE1; MACF1; NKTR; XIST; SLFN12L; PRRC2C; UTRN; RORA; ZAP70; DDX17; ATM; ANKRD11; RBM39; PTPRC; SRRM2; ARGLU1; ATRX; ETS1; GOLGA4; SMCHD1; ARAP2; AAK1; CLEC2D; PCSK7; ASH1L; IKZF3; PLCG2; ANKRD12; DIP2A; AHNAK; HNRNPH1; SAMD3; PRPF4B; AKNA; PRF1; TUT4; PNISR; AKAP13; MYO1F; ACAP1; AKAP9; PPP2R5C; ZNF292; EVL; CCNL1; BPTF; TCF25; N4BP2L2; ZFP36L2; OGA; DDX24; MBNL1; LUC7L3; FUS; SMG1; SRSF11; KLRD1; DDX3X; RSRP1; EML4; PNN; SON; ARL4C; IKZF1; KMT2A; PCM1; ATF7IP; ITGAL; ANKRD44; KIAA1551; USP34; SLFN5; VPS13C; NEMF; BDP1; POLR2J3.1; CDK13; EPB41; SNRNP70; GOLGB1; OGT; YIPF4; INTS6; AFF4; PARP8; SREK1; GPBP1; SP100; YME1L1; RBM26; CASP8; ZNF207; HECTD1; TNRC6B; IRF3; TRA2B; USP15"	"N"	"gene expression"	"up"	"cluster 12 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"100"	"100"	"32788292_56_199"
""	"IGLC2; IGHA1; IGLC3; IGKC; JCHAIN; IGHG1; IGHG3; MZB1; IGHG4; IGHA2; IGHG2; HSP90B1; SEC11C; ITM2C; PPIB; TNFRSF17; MYDGF; XBP1; FKBP11; CD38; LMAN1; DERL3; PDIA4; HSPA5; SSR3; RRBP1; PDIA6; SPCS3; SUB1; CD27; SDF2L1; SSR4; ISG20; SPCS2; IGHGP; ERLEC1; RPN2; UBE2J1; CALR; PRDX4; MAN1A1; ELL2; TXNDC11; MANF; POU2AF1; FKBP2; NCOA3; SEC61B; P4HB; EAF2; HM13; SELENOS; SEL1L3; SPCS1; DDOST; TENT5C; HDLBP; AQP3; RABAC1; CRELD2; LMAN2; KDELR2; SEC61G; TP53INP1; ZBP1; PIM2; TNFRSF13B; OSTC; SLAMF7; PRDM1; TMED10; TMED9; TMEM258; DERL1; TPD52; FNDC3B; DNAJB11; RPN1; PLPP5; GOLGB1; SPATS2; CPEB4; CANX; SEC61A1; CD79A; TMEM208; TRAM1; FCRL5; COBLL1; HERPUD1; NUCB2; MLEC; IDH2; FAM30A; TXNDC15; SRPRB; ALG5; ARF4; SSR1; IGHM"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"CITE-seq; DEGs"	"IGLC2; IGHA1; IGLC3; IGKC; JCHAIN; IGHG1; IGHG3; MZB1; IGHG4; IGHA2; IGHG2; HSP90B1; SEC11C; ITM2C; PPIB; TNFRSF17; MYDGF; XBP1; FKBP11; CD38; LMAN1; DERL3; PDIA4; HSPA5; SSR3; RRBP1; PDIA6; SPCS3; SUB1; CD27; SDF2L1; SSR4; ISG20; SPCS2; IGHGP; ERLEC1; RPN2; UBE2J1; CALR; PRDX4; MAN1A1; ELL2; TXNDC11; MANF; POU2AF1; FKBP2; NCOA3; SEC61B; P4HB; EAF2; HM13; SELENOS; SEL1L3; SPCS1; DDOST; TENT5C; HDLBP; AQP3; RABAC1; CRELD2; LMAN2; KDELR2; SEC61G; TP53INP1; ZBP1; PIM2; TNFRSF13B; OSTC; SLAMF7; PRDM1; TMED10; TMED9; TMEM258; DERL1; TPD52; FNDC3B; DNAJB11; RPN1; PLPP5; GOLGB1; SPATS2; CPEB4; CANX; SEC61A1; CD79A; TMEM208; TRAM1; FCRL5; COBLL1; HERPUD1; NUCB2; MLEC; IDH2; FAM30A; TXNDC15; SRPRB; ALG5; ARF4; SSR1; IGHM"	"N"	"gene expression"	"up"	"cluster 13 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"100"	"100"	"32788292_57_200"
""	"HBG2; ITGA2B; PPBP; PF4; CLEC1B; PRKAR2B; GNG11; CLU; TREML1; TUBB1; YWHAH; GP9; TLN1; CST7; NRGN; MYL9; RGS18; RUFY1; SNCA; H2AC6; PDLIM1; ACRBP; BEX3; F13A1; E2F1; PGRMC1; CTSA; TPM4; VCL; CMTM5; GAS2L1; CAVIN2; CD9; MPP1; MMD; TSC22D1; TMEM40; SPARC; TIMP1; CA2; TPM1; TAGLN2; TGFB1; FLNA; OAZ1; RSU1; EIF2AK1; ETFA; RGS10; KIF2A; TUBA4A; RAB32; ARHGAP18; NAP1L1; GRAP2; MPIG6B; FERMT3; OST4; MMRN1; GPX4; ACTN1; ARPC1B; SOD2; MGLL; LIMS1; SELP; PTGS1; STOM; LCN2; ILK; ANKRD9; TSPAN33; CALM3; CTTN; MYL6; GMPR; NCOA4; SH3BGRL2; PRKAR1B; H3-3A; FAXDC2; MGAT4B; PTCRA; PKM; ITM2B; ANO6; ITGB3; ENDOD1; NT5M; WDR1; PROS1; LAMTOR1; ITGB1; ARHGAP6; TFPI; NORAD; RAB11A; DAP"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"CITE-seq; DEGs"	"HBG2; ITGA2B; PPBP; PF4; CLEC1B; PRKAR2B; GNG11; CLU; TREML1; TUBB1; YWHAH; GP9; TLN1; CST7; NRGN; MYL9; RGS18; RUFY1; SNCA; HIST1H2AC; PDLIM1; ACRBP; BEX3; F13A1; E2F1; PGRMC1; CTSA; TPM4; VCL; CMTM5; GAS2L1; CAVIN2; CD9; MPP1; MMD; TSC22D1; TMEM40; SPARC; TIMP1; CA2; TPM1; TAGLN2; TGFB1; FLNA; OAZ1; RSU1; EIF2AK1; ETFA; RGS10; KIF2A; TUBA4A; RAB32; ARHGAP18; NAP1L1; GRAP2; MPIG6B; FERMT3; OST4; MMRN1; GPX4; ACTN1; ARPC1B; SOD2; MGLL; LIMS1; SELP; PTGS1; STOM; LCN2; ILK; ANKRD9; TSPAN33; CALM3; CTTN; MYL6; GMPR; NCOA4; SH3BGRL2; PRKAR1B; H3F3A; FAXDC2; MGAT4B; PTCRA; PKM; ITM2B; ANO6; ITGB3; ENDOD1; NT5M; WDR1; PROS1; LAMTOR1; ITGB1; ARHGAP6; TFPI; NORAD; RAB11A; DAP"	"N"	"gene expression"	"up"	"cluster 14 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"100"	"98"	"32788292_58_201"
""	"IGHG1; IGKC; IGLC3; IGLC2; IGHA1; JCHAIN; MZB1; IGHG4; IGHG3; HSP90B1; IGHA2; SEC11C; IGHG2; PPIB; MYDGF; LMAN1; XBP1; HSPA5; TNFRSF17; SSR3; SUB1; PDIA6; FKBP11; SDF2L1; PDIA4; ITM2C; H1-5; CD38; SPCS3; CALR; MANF; RRBP1; SPCS2; MKI67; DERL3; UBE2J1; ELL2; SEC61B; POU2AF1; KDELR2; P4HB; H1-3; SEC61G; RPN2; ERLEC1; SMC4; RRM2; PRDX4; TMEM258; MAN1A1; TXNDC11; ISG20; HDLBP; AQP3; HSPD1; FKBP2; EAF2; OSTC; CRELD2; CD27; CCND2; HM13; CANX; SSR4; LMAN2; MYBL2; TMED9; IGHGP; SRM; SELENOS; MLEC; DERL1; SSR1; SPCS1; CENPF; TYMS; PTTG1; DNAJB11; RPN1; H2AC12; PCLAF; FABP5; H3C8; TMED10; LRRC59; SEC61A1; ASPM; PSME2; TMEM208; TOP2A; PIM2; TNFRSF13B; PRDX1; DDOST; NCOA3; H2AZ1; HMGB2; H1-4; H4C3; IGHM"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"CITE-seq; DEGs"	"IGHG1; IGKC; IGLC3; IGLC2; IGHA1; JCHAIN; MZB1; IGHG4; IGHG3; HSP90B1; IGHA2; SEC11C; IGHG2; PPIB; MYDGF; LMAN1; XBP1; HSPA5; TNFRSF17; SSR3; SUB1; PDIA6; FKBP11; SDF2L1; PDIA4; ITM2C; HIST1H1B; CD38; SPCS3; CALR; MANF; RRBP1; SPCS2; MKI67; DERL3; UBE2J1; ELL2; SEC61B; POU2AF1; KDELR2; P4HB; HIST1H1D; SEC61G; RPN2; ERLEC1; SMC4; RRM2; PRDX4; TMEM258; MAN1A1; TXNDC11; ISG20; HDLBP; AQP3; HSPD1; FKBP2; EAF2; OSTC; CRELD2; CD27; CCND2; HM13; CANX; SSR4; LMAN2; MYBL2; TMED9; IGHGP; SRM; SELENOS; MLEC; DERL1; SSR1; SPCS1; CENPF; TYMS; PTTG1; DNAJB11; RPN1; HIST1H2AH; PCLAF; FABP5; HIST1H3G; TMED10; LRRC59; SEC61A1; ASPM; PSME2; TMEM208; TOP2A; PIM2; TNFRSF13B; PRDX1; DDOST; NCOA3; H2AFZ; HMGB2; HIST1H1E; HIST1H4C; IGHM"	"N"	"gene expression"	"up"	"cluster 15 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"100"	"100"	"32788292_59_202"
""	"NRGN; RGS18; CST7; MPP1; IGKC; CCL5; JCHAIN; IGLC3; IGLC2; CLU; VCL; LIMS1; TPM4; PPDPF; TGFB1; IGHA1; TLN1; MARCHF2; RGS10; RUFY1"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"CITE-seq; DEGs"	"NRGN; RGS18; CST7; MPP1; IGKC; CCL5; JCHAIN; IGLC3; IGLC2; CLU; VCL; LIMS1; TPM4; PPDPF; TGFB1; IGHA1; TLN1; MARCH2; RGS10; RUFY1"	"N"	"gene expression"	"down"	"cluster 16 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"20"	"20"	"32788292_61_204"
""	"EPB41; RBM38; BAG1; UBB; HAGH; HBB; HBA2; HBA1; HBD; HBM; SLC25A37; ALAS2; AHSP; SLC25A39; SNCA; GYPC; CA1; YBX3; FAM210B; GUK1; BNIP3L; MXI1; SLC4A1; DCAF12; SELENBP1; FBXO7; FKBP8; RNF10; BPGM; ADIPOR1; HBQ1; STRADB; KRT1; FECH; HEMGN; BCL2L1; SMIM1; EPB42; MARCHF8; DMTN; MYL4; GYPB; TRIM58; NFIX; IFI27; GSPT1; MKRN1; GLRX5; TENT5C; BLVRB"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"CITE-seq; DEGs"	"EPB41; RBM38; BAG1; UBB; HAGH; HBB; HBA2; HBA1; HBD; HBM; SLC25A37; ALAS2; AHSP; SLC25A39; SNCA; GYPC; CA1; YBX3; FAM210B; GUK1; BNIP3L; MXI1; SLC4A1; DCAF12; SELENBP1; FBXO7; FKBP8; RNF10; BPGM; ADIPOR1; HBQ1; STRADB; KRT1; FECH; HEMGN; BCL2L1; SMIM1; EPB42; MARCH8; DMTN; MYL4; GYPB; TRIM58; NFIX; IFI27; GSPT1; MKRN1; GLRX5; TENT5C; BLVRB"	"N"	"gene expression"	"up"	"cluster 17 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"50"	"50"	"32788292_62_205"
""	"EIF3J; RASSF1; NCOA3; PTPRA; SEMA4D; KLF10; PARP8; ARL4A; ANXA7; RAB4A; CPNE1; CAMLG; TMED5; TMEM14C; PRDM2; PABPC4; XPO1; DYNLT1; ANKRD13D; USP8; HOOK3; IL16; SSH2; ZC3H13; IDI1; CEBPZ; CCDC107; MAP3K1; CTDSP1; HELZ; INTS6; TSC22D4; UBE2R2; SLIRP; EIF6; SNF8; NDUFS2; PSMB7; CYBC1; ETFB; LSM10; KDELR1; SAT2; PRMT1; CNOT2; RBBP4; PABPN1; SHKBP1; ARHGAP4; IFNAR1"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"CITE-seq; DEGs"	"EIF3J; RASSF1; NCOA3; PTPRA; SEMA4D; KLF10; PARP8; ARL4A; ANXA7; RAB4A; CPNE1; CAMLG; TMED5; TMEM14C; PRDM2; PABPC4; XPO1; DYNLT1; ANKRD13D; USP8; HOOK3; IL16; SSH2; ZC3H13; IDI1; CEBPZ; CCDC107; MAP3K1; CTDSP1; HELZ; INTS6; TSC22D4; UBE2R2; SLIRP; EIF6; SNF8; NDUFS2; PSMB7; CYBC1; ETFB; LSM10; KDELR1; SAT2; PRMT1; CNOT2; RBBP4; PABPN1; SHKBP1; ARHGAP4; IFNAR1"	"N"	"gene expression"	"down"	"cluster 18 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"50"	"50"	"32788292_63_206"
""	"ZFP36L2; SMCHD1; TRBC1; SAMD9; ARID5B; GIMAP7; CLEC2D; NOSIP; IL7R; IFI44L; ISG15; LTB; TRAC; XAF1; MX1; CD3E; IFIT3; LEF1; CD3G; CD3D; TCF7; IL32; MYC; RCAN3; ETS1; CCR7; IFITM1; IFI6; SARAF; TRAT1; PIK3IP1; EIF2AK2; MALAT1; RSAD2; CAMK4; ISG20; CD69; MAL; LDHB; IFIT1; SOCS3; LY6E; ITK; HERC5; TRBC2; TXNIP; BCL2; MX2; CD2; OXNAD1; SPOCK2; SP100; TMEM123; CDC14A; EPSTI1; EIF4A2; LCK; STAT1; DGKA; IFI44; ITM2A; SELL; DDX60; PIM1; PDE3B; LEPROTL1; AAK1"	"2021-02-15"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"12"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"CITE-seq; DEGs"	"ZFP36L2; SMCHD1; TRBC1; SAMD9; ARID5B; GIMAP7; CLEC2D; NOSIP; IL7R; IFI44L; ISG15; LTB; TRAC; XAF1; MX1; CD3E; IFIT3; LEF1; CD3G; CD3D; TCF7; IL32; MYC; RCAN3; ETS1; CCR7; IFITM1; IFI6; SARAF; TRAT1; PIK3IP1; EIF2AK2; MALAT1; RSAD2; CAMK4; ISG20; CD69; MAL; LDHB; IFIT1; SOCS3; LY6E; ITK; HERC5; TRBC2; TXNIP; BCL2; MX2; CD2; OXNAD1; SPOCK2; SP100; TMEM123; CDC14A; EPSTI1; EIF4A2; LCK; STAT1; DGKA; IFI44; ITM2A; SELL; DDX60; PIM1; PDE3B; LEPROTL1; AAK1"	"N"	"gene expression"	"up"	"cluster 18 (from COVID-19 patients) vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Table S4 Tab 1: top100genesPerCluster"	"-shortened version in Fig 4c"	"67"	"67"	"32788292_64_207"
